sample_id,label,stage,status,max_abs_diff,mean_abs_diff,cosine_similarity
sample_0086,down,log,PASS,6.437301635742188e-05,5.303394807402349e-07,0.9999999999999075
sample_0086,down,normalize,PASS,1.3366341590881348e-05,1.0994644170669646e-07,0.9999999999999564
sample_0087,down,fft,PASS,2.86102294921875e-06,8.740407990156154e-09,0.9999999999999883
sample_0087,down,mel,PASS,1.9073486328125e-06,2.246903041183113e-08,0.9999999999999919
sample_0087,down,log,PASS,5.435943603515625e-05,1.2517785663557432e-06,0.9999999999999218
sample_0087,down,normalize,PASS,1.1324882507324219e-05,2.6032571305663756e-07,0.9999999999996669
sample_0088,down,fft,PASS,3.0517578125e-05,5.216035323251893e-08,0.9999999999999946
sample_0088,down,mel,PASS,1.52587890625e-05,1.2553538276221033e-07,0.9999999999999952
sample_0088,down,log,PASS,3.814697265625e-05,1.1394498653659174e-06,0.9999999999999275
sample_0088,down,normalize,PASS,7.927417755126953e-06,2.3689299038130347e-07,0.9999999999997161
sample_0089,down,fft,PASS,2.288818359375e-05,5.0458040352889146e-08,0.9999999999999937
sample_0089,down,mel,PASS,1.52587890625e-05,1.2062146922211174e-07,0.999999999999995
sample_0089,down,log,PASS,8.58306884765625e-05,1.3324477027474653e-06,0.9999999999998509
sample_0089,down,normalize,PASS,1.7762184143066406e-05,2.7631455787462137e-07,0.9999999999994283
sample_0090,down,fft,PASS,2.86102294921875e-06,5.777107882907096e-09,0.9999999999999888
sample_0090,down,mel,PASS,1.9073486328125e-06,1.420354586558187e-08,0.9999999999999926
sample_0090,down,log,PASS,4.57763671875e-05,9.534900761924057e-07,0.9999999999999447
sample_0090,down,normalize,PASS,9.5367431640625e-06,1.9767307688621575e-07,0.999999999999759
sample_0091,down,fft,PASS,2.288818359375e-05,3.083946325997806e-08,0.9999999999999901
sample_0091,down,mel,PASS,2.288818359375e-05,7.578495754206223e-08,0.9999999999999932
sample_0091,down,log,PASS,4.00543212890625e-05,3.732712135424303e-07,0.999999999999986
sample_0091,down,normalize,PASS,8.344650268554688e-06,7.718342140554404e-08,0.9999999999999445
sample_0092,down,fft,PASS,9.1552734375e-05,1.7629457946671302e-07,0.9999999999999916
sample_0092,down,mel,PASS,9.1552734375e-05,4.6489130228974963e-07,0.9999999999999927
sample_0092,down,log,PASS,5.817413330078125e-05,5.867160766818883e-07,0.9999999999999641
sample_0092,down,normalize,PASS,1.2099742889404297e-05,1.2218577755294686e-07,0.9999999999998994
sample_0093,down,fft,PASS,9.1552734375e-05,2.4074887689191885e-07,0.9999999999999906
sample_0093,down,mel,PASS,7.62939453125e-05,6.200927833795703e-07,0.9999999999999928
sample_0093,down,log,PASS,9.441375732421875e-05,1.519938207523653e-06,0.9999999999998359
sample_0093,down,normalize,PASS,1.9609928131103516e-05,3.157576884404989e-07,0.9999999999996064
sample_0094,down,fft,PASS,4.57763671875e-05,9.756618106747191e-08,0.9999999999999916
